Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol,Name
281364,A,WESBANCO,1 BANK PLZ ,WHEELING,WV,26003-3565,1_BANK_PLZ,1 BANK PLZ  (281364)
429031,A,WESBANCO - Lee St.,901 LEE ST E,CHARLESTON,WV,25301-1712,901_LEE_ST_E,901 LEE ST E (429031)
429739,A,INDIANAPOLIS LPO,10201 N ILLINOIS ST 140 ,CARMEL,IN,46290-1122,10201_N_ILLINOIS_ST_140,10201 N ILLINOIS ST 140  (429739)
613258,A,ABS/WESBANCO,1781 WESTBELT DR ,COLUMBUS,OH,43228-3811,1781_WESTBELT_DR,1781 WESTBELT DR  (613258)
00E823,A,WesBanco - Bexley,2710 E MAIN ST ,BEXLEY,OH,43209-2534,2710_E_MAIN_ST,2710 E MAIN ST  (00E823)
00E842,A,WESBANCO - Henderson,2000 W HENDERSON RD ,COLUMBUS,OH,43220-2453,2000_W_HENDERSON_RD,2000 W HENDERSON RD  (00E842)
096773,A,WESBANCO - Frankling Twp.,1793 MERCER RD ,ELLWOOD CITY,PA,16117-3051,1793_MERCER_RD,1793 MERCER RD  (096773)
09677E,A,WESBANCO - Ellwood City,600 LAWRENCE AVE ,ELLWOOD CITY,PA,16117-1930,600_LAWRENCE_AVE,600 LAWRENCE AVE  (09677E)
09677X,A,WESBANCO - Shenango,2731 ELLWOOD RD ,NEW CASTLE,PA,16101-6219,2731_ELLWOOD_RD,2731 ELLWOOD RD  (09677X)
09678R,A,WESBANCO - Fox Chapel,1060 FREEPORT RD ,PITTSBURGH,PA,15238-3102,1060_FREEPORT_RD,1060 FREEPORT RD  (09678R)
096799,A,WESBANCO - Neshannock,3360 WILMINGTON RD ,NEW CASTLE,PA,16105-1039,3360_WILMINGTON_RD,3360 WILMINGTON RD  (096799)
0968A0,A,WESBANCO - Center Twp.,3531 BRODHEAD RD ,MONACA,PA,15061-3125,3531_BRODHEAD_RD,3531 BRODHEAD RD  (0968A0)
0968A2,A,WESBANCO - Wexford,101 WEXFORD BAYNE RD 2 102 ,WEXFORD,PA,15090-8733,101_WEXFORD_BAYNE_RD_2_102,101 WEXFORD BAYNE RD 2 102  (0968A2)
0968E2,A,WESBANCO - Chippewa,2521 DARLINGTON RD ,BEAVER FALLS,PA,15010-7112,2521_DARLINGTON_RD,2521 DARLINGTON RD  (0968E2)
0968EA,A,WESBANCO - Baldwin,5035 CURRY RD ,PITTSBURGH,PA,15236-2543,5035_CURRY_RD,5035 CURRY RD  (0968EA)
0968EW,A,WESBANCO - Beaver,701 CORPORATION ST ,BEAVER,PA,15009-2713,701_CORPORATION_ST,701 CORPORATION ST  (0968EW)
0968EY,A,WESBANCO - Beaver Falls,1427 7TH AVE ,BEAVER FALLS,PA,15010-4220,1427_7TH_AVE,1427 7TH AVE  (0968EY)
1297AW,A,WESBANCO - Marietta,200 2ND ST ,MARIETTA,OH,45750-2925,200_2ND_ST,200 2ND ST  (1297AW)
1311AW,A,WESBANCO - Woodsfield,101 N SYCAMORE ST ,WOODSFIELD,OH,43793-1031,101_N_SYCAMORE_ST,101 N SYCAMORE ST  (1311AW)
